name,address,city,state,zip_code,latitude,longitude,Discription,Accessible,Smooth,Elivators,Ramps,Sound,Brail,SightImpared,Bathrooms,single-entrance
Strong Reach Playground,103 Barr Avenue,Bowdon,GA,30108,33.5290172,-85.253076,,True,True,True,False,True,False,False,True,False
Unity Place,175 Ozora Road,Loganville,GA,30052,33.8819183,-83.9206055,"Playground facilities include raised sandboxes and mechanical diggers for use by seated children. Thoughtfully designed swings and wide ramps make the playground suitable for children with and without special needs.  Bay Creek Park also features a special-needs ball field with a rubberized surface and large, level ""dugouts"" usable by wheelchairs.",True,True,True,False,True,False,False,True,False
All Children's Playground,Willowbend Road,Peachtree City,GA,30269,33.400353,-84.5814748,"This 5-acre park has an accessible playground, fishing, horseshoes and a covered picnic shelter.",True,True,True,False,True,False,False,True,False
Tread Town,200 Preston Strokes Drive,Pooler,GA,31322,32.115481,-81.2470574,,True,True,True,False,True,False,False,True,False
Children's Playgarden,8720 Ephesus Church Road,Villa Rica,GA,30180,33.7076604,-84.8610942,"The 200-acre park contains nature trails, and open exploration areas.",True,True,True,False,True,False,False,True,False
Brooklyn's Playground,305 South Arthur Avenue,Pocatello,ID,83204,42.8597941,-112.4499382,"This  28,000 square foot playground featuress wheelchair accessiblity to seven different levels of the playground. The playground has areas for pretend play, music, swing, climbing and sliding.",True,True,True,True,True,False,False,True,False
Thaddeus James Weisner Park,Fourth and Flagg streets,Aurora,IL,60605,41.7583535,-88.3065722,,True,True,True,False,True,False,False,True,False
Citizens Park,511 Lake Zurich Road,Barrigtion,IL,60010,42.16125,-88.128387,Home of the Pepper Family Treehouse.,True,True,True,False,True,False,False,True,False
Miller Park,401 Summit Street,Barrington,IL,60010,42.1514192,-88.1312128,This 8-acre park includes a handicap-accessible playground area and a Scout Cabin,True,True,True,False,True,False,False,True,False
Playground For Everyone,900 East Winter Avenue,Danville,IL,61832,40.1602864,-87.6144754,"This 10,000 square foot playground  was designed to be nearly 100% accessible.",True,True,True,False,True,False,False,True,False
Independence Park,1000 Logan Avenue,Danville,IL,61832,40.1418357,-87.6449702,,True,True,True,False,True,False,False,True,False
Deerspring Park,Lions Drive,Deerfield,IL,60015,42.169535,-87.834084,"The playground has rampways, slides, climbing structures and other components. It was built within the framework of existing trees at Deerspring Park to give it a ""treehouse"" feel.",True,True,True,True,True,False,False,True,True
Prarie View Park,6834 Dempster Street,Morton Grove,IL,60053,42.0442139,-87.797123,"The pathways are made of a rubber material. The equipment was placed where children in wheelchairs could reach, such as a sandbox area with special scoops. The playground also includes special rock-climbing surfaces, an activity areas with a sign-language board, and items with textures.",True,True,True,False,True,True,False,True,False
Pearce's Ford Park,601 Pearce's Ford Road,Oswego,IL,60543,41.7008675,-88.3260965,The playground offers a poured-in-place rubberized surface overlooking the Waubonsee Creek and Waubonsee Greenway.,True,True,True,True,True,False,False,True,False
Civic Center Park,5 Ashlawn Avenue,Oswego,IL,60543,41.7005025,-88.3457578,"The accessible playgroundoffers ramps and a poured-in-place rubberized surface and includes 4 slides, 8 climbers, activity panels, and swings.",True,True,True,True,True,False,False,True,False
Country Garden Park,901 North Schoenbeck Rosf,Prospect Heights,IL,60004,42.1143065,-87.9464913,,True,True,True,False,True,False,False,True,False
McCarthy Park,16801 South 80th Avenue,Tinley Park,IL,60477,41.5856418,-87.8130251,"The playground features ramps wide enough for passing wheelchairs that lead to slides, games and a Sway Fun seating area that rocks back and forth. Interactive elements like drums and a sensory panel with rolling marbles and a color wheel are designed to engage the senses. There is an adult wheelchair swing.",True,True,True,True,True,True,False,True,False
Spraypark for Everyone,1112 Industrial Drive,Danville,IL,61832,40.1385355,-87.6065967,"A zero-depth water play area is accessible to all people, regardless of their ability.",True,True,True,False,True,False,False,True,False
Playscape Playground,2450 South Endwright Road,Bloomington,IN,47403,39.140687,-86.600582,"The first phases of this Playscape includes a water splash pad, a toddler playground, a ramped play unit for 5-12 year-olds, accessible sand tables and a shelter with accessible picnic areas.",True,True,True,False,True,False,False,True,False
Lower Cascades Park,2851 North Old State Road 37,Bloomington,IN,47404,39.1903893,-86.5350104,This playground is the city's largest and most accessible playground.,True,True,True,False,True,False,False,True,False
Freedom Field,1400 Parkside Drive,Columbus,IN,47203,39.2409031,-85.911761,"This playground has a theme of ""No child left behind.""  The park includes many custom play events as well as The Rock and Spacenet Climbers. Custom safety surfacing makes the playground accessible for all.",True,True,True,False,True,False,False,True,False
Taylor's Dream Boundless Playground,Off North River Road,Fort Wayne,IN,46815,41.0875431,-85.0463484,"The playground features a splash pad in the center, ramped structures, swings, a music area, T-Rex, an Areoglider and a NEOs game.",True,True,True,True,True,False,False,True,False
Arch Street Park,320 Arch Street,Lawrenceburg,IN,47025,39.0966332,-84.8474081,,True,True,True,False,True,False,False,True,False
Freedom Trail Park,500 Deer Walk Trace,Westfield,IN,46074,40.048746,-86.115882,"The inclusive playground has a 2-5 year old area as well as an older children's area.  There is also a sensory garden.  There are features for children with autism, like  spinning and twirilng. T",True,True,True,True,True,True,False,True,False
Sergeant Bluff-Luton Community School,206 S. D Street,Sergeant Bluff,IA,51054,42.3957963,-96.3603342,"The playground accessible playground equipment includes an EVOS system, Accessible Power Lifterª Chinning Bar, ChitterChatter Noodleª Talk Tubes, Gyro Twisterª Spinner.",True,True,True,False,True,False,False,True,False
Boundless Playground,1100 31st Street,Sioux City,IA,51104,42.5234008,-96.3962972,,True,True,True,True,True,False,False,True,False
City Park,Park Drive  and South 26th Street,Kansas City,KS,66102,39.1040952,-94.6586209,,True,True,True,False,True,False,False,True,False
Emerson Park,1423 South 29th Street,Kansas City,KS,66106,39.0741527,-94.6625122,,True,True,True,False,True,False,False,True,False
Quindaro Park,3301 Sewell Avenue,Kansas City,KS,66104,39.1488703,-94.6666903,,True,True,True,False,True,False,False,True,False
Shawnee Park,729 Shawnee Avenue,Kansas City,KS,66105,39.0858631,-94.6283134,,True,True,True,False,True,False,False,True,False
Sunrise Boundless Playscape,6501 West 21st Street North,Wichita,KS,67212,37.70882,-97.41731,,True,True,True,False,True,False,False,True,False
Don Fightmaster Park,Bellknap Campus,Louisville,KY,40209,38.2140116,-85.7598109,"The park is a 10,000-square-foot, fully accessible playground.",True,True,True,False,True,False,False,True,False
Great House Elementary School,2700 Browns Lane,Louisville,KY,40220,38.2256046,-85.6208389,This playstructure features a several climbers as well as a Sway Fun glider.,True,True,True,False,True,False,False,True,False
Sensory Park and Garden,815 Triplett Street,Owensboro,KY,42303,37.76924,-87.102635,"The park offers many engaging features in a universally-accessible landscape. Sensory Parks and Therapeutic Landscapes are new, cutting-edge approaches for meeting the physical, recreational, emotional and spiritual needs of people with and without disabilities.",True,True,True,False,True,False,False,True,False
Noble Park,2801 Park Avenue,Paducah,KY,42001,37.08356,-88.63754,,True,True,True,False,True,False,False,True,False
Jefferson Park,4100 South Drive,Jefferson,LA,70121,29.9575801,-90.167345,"This Family Fitness and Fun Park was  built by American Academy of Orthopaedic Surgeons in partnership with KaBOOM! In the middle of the Park there is a safe, accessible playground.The activities also  give those recovering from joint replacement a safe place to exercise.",True,True,True,False,True,False,False,True,False
Parc Independence,500 Girard Park Drive,Lafayette,LA,70503,30.206572,-92.020024,,True,True,True,True,True,True,True,True,True
Shiver Me Timber Playground,900 Lakeshore Drive,Lake Charles,LA,70601,30.22788,-93.21934,"The playground features a bigger than life 40 foot long Shiver Me Timbers Pirate Ship  next to the Eagle's Nest, a huge climbing structure.  This two storied ship features a climbing cargo net, portals, decking and ramps.",True,True,True,False,True,False,False,True,False
